analysis_id,stratum,moderator,contrast,omitted_study,removed_effects,remaining_effects,remaining_studies,remaining_clusters,successful,beta,se,df,p_raw,nominal_p_lt_0_05,direction_consistent,warnings,failure_reason
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Lucocq_2024,2,157,42,47,TRUE,0.4227481475484537,0.17896417579050092,22.534593558677813,0.027199068554970614,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Münch_2024,9,150,42,47,TRUE,0.3880574255242376,0.18342898416040043,22.72259132029665,0.04555932732811324,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Osman_2021,4,155,42,47,TRUE,0.37759285119292385,0.17077698152496548,24.713940430949915,0.03651766615400693,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Park_2021,4,155,42,47,TRUE,0.39253840283882213,0.16937803885463373,24.757244533283288,0.029038130893003538,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Peng_2010,2,157,42,47,TRUE,0.39282363153129746,0.16949332248486979,24.736409992006646,0.02903897387363428,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Pitra_2018,2,157,42,47,TRUE,0.4372061021611277,0.1747074792279199,22.535055721387966,0.020052601113039904,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Ragel_2016,2,157,42,47,TRUE,0.4524497149632791,0.17066681177154727,22.42620469744422,0.01445261870152827,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Rosenkrantz_2014,2,157,42,47,TRUE,0.3837980590304034,0.17073248908433203,24.674597428932753,0.033768285781190996,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Sebastià_2026,1,158,42,47,TRUE,0.4187898873551559,0.17719543781001,22.706665510815153,0.027054408289894145,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Shaish_2019,3,156,42,47,TRUE,0.43269471422716804,0.16578940013164425,24.700132718004053,0.015160630193500424,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Siegel_1997,1,158,42,47,TRUE,0.3937286098248311,0.17066940826763422,24.655804917667684,0.029747850784354515,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Sun_2023,4,155,42,46,TRUE,0.39140465633168436,0.1689884595126848,24.815746681859533,0.029103163973068377,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Tse_2020,2,157,42,47,TRUE,0.3932224990143134,0.1710299074960243,24.690371862525808,0.030242428947879083,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Tse_2021_a,2,157,42,47,TRUE,0.37771242618670714,0.17045149561404016,24.68380038439439,0.036149452428536594,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Tse_2021_b,16,143,42,47,TRUE,0.4130810775648625,0.17161131611639063,24.646007709165318,0.023909208333510196,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Tse_2022,1,158,42,47,TRUE,0.40431434686167494,0.1703105614932271,24.65314022493543,0.02570978256983388,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Urraro_2026,1,158,42,47,TRUE,0.37866625952769695,0.1798421988366621,22.691195121332797,0.046521825442830414,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Verzotti_2019,3,156,42,47,TRUE,0.38227686266876576,0.18292951105402597,22.536645384653248,0.048129350199575434,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Walmer_2023,6,153,42,47,TRUE,0.39725936425181824,0.17157597281857812,24.72649812703132,0.02918650671568563,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Yan_2021,24,135,42,45,TRUE,0.3225242204951897,0.17108635595073846,24.023808710941513,0.07156098323043651,FALSE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Yenice_2020,2,157,42,47,TRUE,0.3923225685804429,0.1693091806565815,24.766724322843686,0.02905563784636179,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Zhong_2017,2,157,42,47,TRUE,0.39580999993403565,0.1705726527803974,24.55494380473785,0.028926586795260396,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Almalki_2023,1,38,27,30,TRUE,0.46981812421851193,0.0755816996044528,2.160276701068448,0.020587149784363778,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Anshulmeena_2026,1,38,27,30,TRUE,0.44633417893441796,0.07283609035332422,2.134600163193962,0.021845609833147085,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Ascenti_2007,1,38,27,30,TRUE,0.45338614905273444,0.07468256900884242,2.1521977483328816,0.02182133757421523,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Bielsa_Gali_1999,1,38,27,30,TRUE,0.478597223687119,0.07414137299886134,2.146958858902895,0.019343055491142718,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Chan_2021,2,37,27,30,TRUE,0.4674926364774042,0.07591385826473356,2.1631699699587275,0.020919499982290497,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Clevert_2008,1,38,27,30,TRUE,0.4587241566036152,0.07501187236676173,2.154967125772309,0.021426389193980353,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Como_2021,1,38,27,30,TRUE,0.4953151837844629,0.07398487880007847,1.1084466341344712,0.07858942102050988,FALSE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Das_2023,1,38,27,30,TRUE,0.4648531516736671,0.07539415814254202,2.1584379006636434,0.020982120186333608,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Ferreira_2016,1,38,27,30,TRUE,0.4743366624975041,0.07490664806158555,2.154065363584159,0.0199567401466183,TRUE,TRUE,,
